id,servicioCategoriaId,nombre,costo,gasto,utilidad,precio_publico,posicion,visible_cliente,tipo_utilidad,status,createdAt,updatedAt
cm3rzhf1j000nwuf6k78d96b7,cm3p04vhy0007nk9sco2nqv89,Fotógrafo complementario por hora,200.0,40.0,101.25,455.0,5,1,servicio,active,1732234143079,1733364462829
cm3rzi1vc000rwuf692k524bi,cm3p05s6k0008nk9spkpqzxbq,Grabación con dron 4k para evento en momentos clave,1000.0,200.0,510.0,2280.0,3,1,servicio,active,1732234172663,1732567578024
cm3rzj7lj000vwuf6vy1yg28f,cm3p068ht0009nk9s280trn2b,"Libro clásico de evento 12x12""  con foto portada con textura a elegir, interiores impresos el papel lustre, mate o brillante con hasta 50 paginas en interior (80 fotos)",2989.0,890.0,606.0,5980.0,4,1,producto,active,1732234226744,1732563020051
cm3s02uh9000xwuf6gfwkem3n,cm3p04vhy0007nk9sco2nqv89,Asistente de iluminación principal por hora,100.0,40.0,51.25,255.0,2,1,servicio,active,1732235142861,1733364430741
cm3s031mw0011wuf6fep7bxsc,cm3p04vhy0007nk9sco2nqv89,Asistente de iluminación secundario por hora,100.0,40.0,51.25,255.0,4,1,servicio,active,1732235152136,1733364447654
cm3s034fw0015wuf6z1p8t0os,cm3p04vhy0007nk9sco2nqv89,Asistente de iluminación C por hora,100.0,40.0,51.25,255.0,6,1,servicio,active,1732235155772,1732562896847
cm3s0a1eg0019wuf6fkbym13q,cm3p04vhy0007nk9sco2nqv89,Revelado ligero de todas las fotografías del evento,1500.0,0.0,750.0,3000.0,7,1,servicio,active,1732235478424,1732562908209
cm3s0efrt001bwuf606907y35,cm3p04vhy0007nk9sco2nqv89,Retoque avanzado digital por fotografía de evento,100.0,0.0,50.0,200.0,8,1,servicio,active,1732235683673,1733362119319
cm3s0g2y0001dwuf6796tbpao,cm3p068ht0009nk9s280trn2b,Diseño de libro de evento,400.0,0.0,200.0,800.0,1,1,servicio,active,1732235760360,1732562941610
cm3s0gzjg001fwuf6mn6ik00h,cm3p068ht0009nk9s280trn2b,"Libro de lujo 12x12"" de evento con portada en acrílico impresa en papel aperlado, interiores impresos el papel mate velvet con hasta 50 paginas en interior (80 fotos) (copia 28)",4905.0,890.0,992.5,9050.0,2,1,producto,active,1732235802605,1732562983679
cm3s0orqr001hwuf60lpersfi,cm3p068ht0009nk9s280trn2b,"Caja estándar 12x12"" para libro de sesión con foto envolvente y foto en tapa interior",1600.0,0.0,350.0,2600.0,5,1,producto,active,1732236165747,1732400001505
cm3s0qyrd001jwuf6mnli4xki,cm3p068ht0009nk9s280trn2b,"Caja de lujo 12x12"" para libro de evento con foto envolvente y foto en tapa interior",3500.0,0.0,700.0,5600.0,3,1,producto,active,1732236268153,1732563001534
cm3s0x7jl001lwuf6ntodc7j8,cm3p0452q0005nk9slxs3ereu,"Libro clásico de sesión 12x12"" con foto portada en textura con interiores impresos el papel lustre, mate o brillante con hasta 12 paginas en interior",1237.0,890.0,273.0,3200.0,4,1,producto,active,1732236559473,1732561966014
cm3s111ud001nwuf6fyys1mvp,cm3p05s6k0008nk9spkpqzxbq,Camarógrafo principal por hora,200.0,40.0,101.25,455.0,1,1,servicio,active,1732236738709,1733364546845
cm3s118my001rwuf6hu5jif8t,cm3p05s6k0008nk9spkpqzxbq,Camarógrafo secundario por hora,200.0,40.0,101.25,455.0,2,1,servicio,active,1732236747514,1733364559144
cm3s134cu001vwuf66pveiszi,cm3p05s6k0008nk9spkpqzxbq,Grúa con cabezal robótico de 8mts y operador,4500.0,200.0,2275.0,9300.0,4,1,servicio,active,1732236835279,1733364583654
cm3s147to001zwuf62izcazz8,cm3p05s6k0008nk9spkpqzxbq,Edición de video extendido de 90 min,2000.0,0.0,1000.0,4000.0,5,1,servicio,active,1732236886428,1732567578031
cm3s151cu0021wuf6jwjf7q5t,cm3p05s6k0008nk9spkpqzxbq,Edición de video resumen de hasta 3min,500.0,0.0,250.0,1000.0,7,1,servicio,active,1732236924702,1732567578038
cm3s178ws0023wuf6wy8256qo,cm3p05s6k0008nk9spkpqzxbq,Edición de video de hasta 40min,1200.0,0.0,600.0,2400.0,6,1,servicio,active,1732237027804,1732567578035
cm3s18c9s0025wuf6gntupn8v,cm3p06vln000bnk9s6xdfltab,USB de 64GB 3.0,450.0,0.0,90.0,720.0,1,1,producto,active,1732237078817,1732400081030
cm3s18wz50027wuf60yhstmhq,cm3p06vln000bnk9s6xdfltab,Link permanente de Google Drive,0.0,0.0,0.0,0.0,4,1,servicio,active,1732237105649,1732400092150
cm3s1a4ul0029wuf6c2ewk6gg,cm3p03mwx0003nk9ssu3ae7rq,Servicio de transporte para producción para sesión,500.0,600.0,250.0,1800.0,8,0,servicio,active,1732237162510,1732562596282
cm3s23k6l002fwuf6w9360azj,cm3p06vln000bnk9s6xdfltab,Caja para USB,300.0,250.0,61.25,815.0,2,1,producto,active,1732238535405,1732563145021
cm3s24qpy002hwuf6o1w0zj2a,cm3p06vln000bnk9s6xdfltab,Bolsa tipo shopping para caja de USB,250.0,150.0,50.0,600.0,3,1,producto,active,1732238590535,1732400088188
cm3s26gbz002jwuf6x7ju4xsm,cm3p0452q0005nk9slxs3ereu,"Caja de lujo 12x12"" para libro de sesión con tapa de acrílico y fotografía impresa en papel aperlado o velvet",3300.0,0.0,675.0,5300.0,3,1,producto,active,1732238670383,1732399858457
cm3s28ja4002lwuf6mhbkyr5d,cm3p03mwx0003nk9ssu3ae7rq,Shooting Trash the Dress hasta por 3 horas de servicio,1200.0,0.0,600.0,2400.0,4,1,servicio,active,1732238767517,1732562561550
cm3s346ul002rwuf6xdcum281,cm3p06ecn000ank9stzowury8,"Cuadro en acrílico 24x36"" en papel perla sobre macocel y bastidor",2040.0,890.0,445.0,4500.0,1,1,producto,active,1732240244397,1732562099769
cm3ul7fw9000n1xwjxa00teuh,cm3p068ht0009nk9s280trn2b,Servicio de recolección de impresos,350.0,440.0,176.75,1289.0,6,1,servicio,active,1732391561529,1732563033322
cm3us80k30001nh0m4miuu91f,cm3p03mwx0003nk9ssu3ae7rq,Shooting en estudio hasta por 45min,500.0,0.0,250.0,1000.0,1,1,servicio,active,1732403345507,1732562533357
